datetime,lat,lon,alt,relative_alt,ground_speed,heading
2023-07-09 22:05:19,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.98
2023-07-09 22:05:19,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.96
2023-07-09 22:05:19,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.95
2023-07-09 22:05:20,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.94
2023-07-09 22:05:20,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.92
2023-07-09 22:05:20,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.91
2023-07-09 22:05:20,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.9
2023-07-09 22:05:21,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.88
2023-07-09 22:05:21,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.87
2023-07-09 22:05:21,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.86
2023-07-09 22:05:21,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.84
2023-07-09 22:05:22,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.83
2023-07-09 22:05:22,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.82
2023-07-09 22:05:22,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.81
2023-07-09 22:05:22,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.79
2023-07-09 22:05:23,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.78
2023-07-09 22:05:23,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.77
2023-07-09 22:05:23,-35.3632621,149.1652374,584.09,-0.017,0.0282842712474619,354.76
2023-07-09 22:05:23,-35.3632621,149.1652374,584.07,-0.017,0.0,354.75
2023-07-09 22:05:24,-35.3632621,149.1652374,584.07,-0.017,0.0,354.73
2023-07-09 22:05:24,-35.3632621,149.1652374,584.07,-0.017,0.0,354.72
2023-07-09 22:05:24,-35.3632621,149.1652374,584.07,-0.017,0.0,354.71
2023-07-09 22:05:24,-35.3632621,149.1652374,584.07,-0.017,0.01,354.7
2023-07-09 22:05:25,-35.3632621,149.1652374,584.07,-0.017,0.01,354.69
2023-07-09 22:05:25,-35.3632621,149.1652374,584.07,-0.017,0.01414213562373095,354.68
2023-07-09 22:05:25,-35.3632621,149.1652374,584.07,-0.017,0.01414213562373095,354.66
2023-07-09 22:05:25,-35.3632621,149.1652374,584.07,0.002,0.01414213562373095,354.65
2023-07-09 22:05:26,-35.3632621,149.1652374,584.07,0.002,0.01414213562373095,354.64
2023-07-09 22:05:26,-35.3632621,149.1652374,584.07,0.002,0.01414213562373095,354.63
2023-07-09 22:05:26,-35.3632621,149.1652374,584.07,0.002,0.01414213562373095,354.62
2023-07-09 22:05:26,-35.3632621,149.1652374,584.07,0.002,0.01,354.61
2023-07-09 22:05:27,-35.3632621,149.1652374,584.07,0.002,0.0,354.6
2023-07-09 22:05:27,-35.3632621,149.1652374,584.07,0.002,0.0,354.59
2023-07-09 22:05:27,-35.3632621,149.1652374,584.07,0.002,0.0,354.57
2023-07-09 22:05:27,-35.3632621,149.1652374,584.07,0.002,0.0,354.56
2023-07-09 22:05:28,-35.3632621,149.1652374,584.07,0.002,0.0,354.55
2023-07-09 22:05:28,-35.3632621,149.1652374,584.07,0.002,0.0,354.54
2023-07-09 22:05:28,-35.3632621,149.1652374,584.07,0.002,0.0,354.53
2023-07-09 22:05:28,-35.3632621,149.1652374,584.07,0.002,0.0,354.52
2023-07-09 22:05:29,-35.3632621,149.1652374,584.08,0.018,0.0,354.51
2023-07-09 22:05:29,-35.3632621,149.1652374,584.18,0.11,0.0,354.5
2023-07-09 22:05:29,-35.3632621,149.1652374,584.46,0.391,0.0,354.49
2023-07-09 22:05:29,-35.3632621,149.1652374,584.91,0.843,0.0,354.5
2023-07-09 22:05:30,-35.3632621,149.1652374,585.42,1.354,0.0,354.51
